Product Name,Specifications,Brand,Review,Sentiment
Dell XPS 13,"13.4-inch FHD display, Intel Core i7, 16GB RAM, 512GB SSD, 52WHr battery",Dell,This product exceeded my expectations! Highly recommend it to anyone looking for quality.,Positive
Microsoft Surface Pro 7,"12.3-inch display, Intel Core i5, 8GB RAM, 128GB SSD",Microsoft,The performance is lacking. I wouldn't recommend it to anyone.,Negative
Apple MacBook Air M1,"13.3-inch Retina display, M1 chip, 8GB RAM, 256GB SSD, 18 hours battery life",Apple,This is by far the best product I've ever purchased. Great value for money!,Positive
LG OLED55CXPUA,"55-inch 4K OLED TV, α9 Gen 4 AI Processor 4K, Dolby Vision IQ",LG,This product exceeded my expectations! Highly recommend it to anyone looking for quality.,Positive
Microsoft Surface Pro 7,"12.3-inch display, Intel Core i5, 8GB RAM, 128GB SSD",Microsoft,It broke down after a few uses. Very unhappy with my purchase!,Negative
Samsung Galaxy S21,"6.2-inch AMOLED display, Snapdragon 888, 8GB RAM, 128GB storage, 4000mAh battery",Samsung,Best investment I've made in a while. It works just as described!,Positive
Apple iPhone 13,"6.1-inch Super Retina XDR display, A15 Bionic chip, 4GB RAM, 128GB storage, 3095mAh battery",Apple,I had a lot of issues with this product. Very disappointed overall.,Negative
Sony WH-1000XM4,"Over-ear wireless headphones, Noise cancellation, 30 hours battery life, Touch controls",Sony,Absolutely love it! The performance is fantastic and it works perfectly.,Positive
Asus ROG Zephyrus G14,"14-inch QHD display, AMD Ryzen 9, 32GB RAM, 1TB SSD, NVIDIA RTX 3060",Asus,It's difficult to use and the instructions are unclear. Not impressed.,Negative
Samsung Galaxy S21,"6.2-inch AMOLED display, Snapdragon 888, 8GB RAM, 128GB storage, 4000mAh battery",Samsung,I regret buying this. It doesn't work as advertised.,Negative
Samsung Galaxy S21,"6.2-inch AMOLED display, Snapdragon 888, 8GB RAM, 128GB storage, 4000mAh battery",Samsung,I had a lot of issues with this product. Very disappointed overall.,Negative
Apple MacBook Air M1,"13.3-inch Retina display, M1 chip, 8GB RAM, 256GB SSD, 18 hours battery life",Apple,This product exceeded my expectations! Highly recommend it to anyone looking for quality.,Positive
Apple MacBook Air M1,"13.3-inch Retina display, M1 chip, 8GB RAM, 256GB SSD, 18 hours battery life",Apple,The quality is poor and it feels cheap. Not worth the price.,Negative
LG OLED55CXPUA,"55-inch 4K OLED TV, α9 Gen 4 AI Processor 4K, Dolby Vision IQ",LG,Absolutely love it! The performance is fantastic and it works perfectly.,Positive
Apple MacBook Air M1,"13.3-inch Retina display, M1 chip, 8GB RAM, 256GB SSD, 18 hours battery life",Apple,It's difficult to use and the instructions are unclear. Not impressed.,Negative
